iso_3,rate,year
ABW,0.25,2020
AFG,0.2,2020
AGO,0.3,2020
AIA,0,2020
ALA,0.2,2020
ALB,0.15,2020
AND,0.1,2020
ANT,0.345,2009
ARE,0,2020
ARG,0.3,2020
ARM,0.18,2020
ASM,0.34,2020
ATG,0.25,2020
AUS,0.3,2020
AUT,0.25,2020
AZE,0.2,2020
BDI,0.3,2020
BEL,0.25,2020
BEN,0.3,2020
BES,0.25,2020
BFA,0.28,2020
BGD,0.25,2020
BGR,0.1,2020
BHR,0,2020
BHS,0,2020
BIH,0.1,2020
BLM,0,2020
BLR,0.18,2020
BLZ,0.25,2020
BMU,0,2020
BOL,0.25,2020
BRA,0.34,2020
BRB,0.055,2020
BRN,0.185,2020
BTN,0.3,2020
BWA,0.22,2020
CAF,0.3,2020
CAN,0.2647,2020
CHE,0.21148581,2020
CHL,0.25,2020
CHN,0.25,2020
CIV,0.25,2020
CMR,0.33,2020
COD,0.35,2020
COG,0.3,2020
COK,0.2,2020
COL,0.32,2020
COM,0.5,2020
CPV,0.22,2020
CRI,0.3,2020
CUW,0.22,2020
CYM,0,2020
CYP,0.125,2020
CZE,0.19,2020
DEU,0.29897059,2020
DJI,0.25,2020
DMA,0.25,2020
DNK,0.22,2020
DOM,0.27,2020
DZA,0.26,2020
ECU,0.25,2020
EGY,0.225,2020
ERI,0.3,2020
ESP,0.25,2020
EST,0.2,2020
ETH,0.3,2020
FIN,0.2,2020
FJI,0.2,2020
FLK,0.26,2020
FRA,0.3202,2020
FRO,0.18,2020
FSM,0.3,2020
GAB,0.3,2020
GBR,0.19,2020
GEO,0.15,2020
GGY,0,2020
GHA,0.25,2020
GIB,0.1,2020
GIN,0.35,2020
GMB,0.31,2020
GNB,0.25,2020
GNQ,0.35,2020
GRC,0.24,2020
GRD,0.28,2020
GRL,0.265,2020
GTM,0.25,2020
GUM,0.21,2020
GUY,0.25,2020
HKG,0.165,2020
HND,0.25,2020
HRV,0.18,2020
HTI,0.3,2020
HUN,0.09,2020
IDN,0.25,2020
IMN,0,2020
IND,0.3,2020
IRL,0.125,2020
IRN,0.25,2020
IRQ,0.15,2020
ISL,0.2,2020
ISR,0.23,2020
ITA,0.2781,2020
JAM,0.25,2020
JEY,0,2020
JOR,0.2,2020
JPN,0.2974,2020
KAZ,0.2,2020
KEN,0.3,2020
KGZ,0.1,2020
KHM,0.2,2020
KIR,0.35,2020
KNA,0.33,2020
KOR,0.275,2020
KWT,0.15,2020
LAO,0.24,2020
LBN,0.17,2020
LBR,0.25,2020
LBY,0.2,2020
LCA,0.3,2020
LIE,0.125,2020
LKA,0.28,2020
LSO,0.25,2020
LTU,0.15,2020
LUX,0.2494,2020
LVA,0.2,2020
MAC,0.12,2020
MAF,0.35,2020
MAR,0.31,2020
MCO,0.28,2020
MDA,0.12,2020
MDG,0.2,2020
MDV,0.15,2020
MEX,0.3,2020
MKD,0.1,2020
MLI,0.3,2020
MLT,0.35,2020
MMR,0.25,2020
MNE,0.09,2020
MNG,0.25,2020
MNP,0.21,2020
MOZ,0.32,2020
MRT,0.25,2020
MSR,0.3,2020
MUS,0.15,2020
MWI,0.3,2020
MYS,0.24,2020
NAM,0.32,2020
NCL,0.3,2020
NER,0.3,2020
NGA,0.3,2020
NIC,0.3,2020
NIU,0.3,2020
NLD,0.25,2020
NOR,0.22,2020
NPL,0.25,2020
NRU,0.25,2020
NZL,0.28,2020
OMN,0.15,2020
PAK,0.29,2020
PAN,0.25,2020
PER,0.295,2020
PHL,0.3,2020
PNG,0.3,2020
POL,0.19,2020
PRI,0.375,2020
PRT,0.315,2020
PRY,0.1,2020
PSE,0.15,2020
PYF,0.25,2020
QAT,0.1,2020
ROU,0.16,2020
RUS,0.2,2020
RWA,0.3,2020
SAU,0.2,2020
SDN,0.35,2020
SEN,0.3,2020
SGP,0.17,2020
SHN,0.25,2020
SLB,0.3,2020
SLE,0.3,2020
SLV,0.3,2020
SMR,0.17,2020
SRB,0.15,2020
SSD,0.25,2020
STP,0.25,2020
SUR,0.36,2020
SVK,0.21,2020
SVN,0.19,2020
SWE,0.214,2020
SWZ,0.275,2020
SXM,0.35,2020
SYC,0.33,2020
SYR,0.28,2020
TCA,0,2020
TCD,0.35,2020
TGO,0.27,2020
THA,0.2,2020
TJK,0.23,2020
TKL,0,2020
TKM,0.08,2020
TLS,0.1,2020
TON,0.25,2020
TTO,0.3,2020
TUN,0.25,2020
TUR,0.22,2020
TWN,0.2,2020
TZA,0.3,2020
UGA,0.3,2020
UKR,0.18,2020
URY,0.25,2020
USA,0.25766571,2020
UZB,0.075,2020
VCT,0.3,2020
VEN,0.34,2020
VGB,0,2020
VIR,0.231,2020
VNM,0.2,2020
VUT,0,2020
WLF,0,2020
WSM,0.27,2020
XKX,0.1,2020
YEM,0.2,2020
ZAF,0.28,2020
ZMB,0.35,2020
ZWE,0.2472,2020
